"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"COMMENT";"DESCRIPTION";"EU_ROHS_COMPLIANCE";"HEIGHT";"LABEL";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"POWER_RATING";"PRICE";"PURCHASE-URL";"RESISTANCE";"TOLERANCE";"VOLTAGE_RATING";
"3.3V";"STM32L031K6T6TR";"STM32L031K6T6TR";"QFP80P900X900X160-32N";"STMICROELECTRONICS - STM32L031K6T6TR - ARM MCU, STM32 Family STM32L0 Series Microcontrollers, ARM Cortex-M0+, 32bit, 32 MHz, 32 KB, 8 KB";"STM32L031K6T6TR";"https://www.arrow.com/en/products/stm32l031k6t6tr/stmicroelectronics";"";"";"STMICROELECTRONICS - STM32L031K6T6TR - ARM MCU, STM32 Family STM32L0 Series Microcontrollers, ARM Cortex-M0+, 32bit, 32 MHz, 32 KB, 8 KB";"";"1.6mm";"";"STMicroelectronics";"STM32L031K6T6TR";"";"511-STM32L031K6T6TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32L031K6T6TR/?qs=xwQlLnDx56Cmxri8cgW0QQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"BATERIA";"CR1/2";"CR1/2";"CR1/2";"LI BATTERY Sonnenschein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"C1";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"C2";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"C3";"GRM1885C2A4R3CZ01D";"GRM1885C2A4R3CZ01D";"CAPC1608X90N";"Check prices";"";"";"Bad";"";" 4.3pF ±0.25pF 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric) ";"";"";"";"";"";"Murata";"";"";"GRM1885C2A4R3CZ01D";"";"";"";"1608 Murata";"";"";"None";"";"";"";"";
"C4";"GRM1885C2A4R3CZ01D";"GRM1885C2A4R3CZ01D";"CAPC1608X90N";"Check prices";"";"";"Bad";"";" 4.3pF ±0.25pF 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric) ";"";"";"";"";"";"Murata";"";"";"GRM1885C2A4R3CZ01D";"";"";"";"1608 Murata";"";"";"None";"";"";"";"";
"C5";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"C6";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"C7";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"C8";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"C9";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"C10";"VJ0603Y104KLXAC5G";"VJ0603Y104KLXAC5G";"CAPC1608X92N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10%  Check prices";"";"";"Warning";"";" Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25volts 10% ";"";"";"";"";"";"Vishay";"";"";"VJ0603Y104KLXAC5G";"";"";"";"0603 Vishay";"";"";"None";"https://pricing.snapeda.com/search/part/VJ0603Y104KLXAC5G/?ref=eda";"";"";"";
"CRISTAL";"NX3215SA-32.768K-EXS00A-MU0000";"NX3215SA-32.768K-EXS00A-MU0000";"NX3215SA32768KEXS00AMU00003";"Crystals CRYSTAL 32.768KHZ 12.5PF SMD";"";"";"";"";"Crystals CRYSTAL 32.768KHZ 12.5PF SMD";"";"0.9mm";"";"NDK";"NX3215SA-32.768K-EXS00A-MU00003";"";"344-NX3215SA32.768K3";"https://www.mouser.co.uk/ProductDetail/NDK/NX3215SA-32768K-EXS00A-MU00003?qs=w%2Fv1CP2dgqrE9YNksyAN9A%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";"";"";
"E1";"HM-10-BOARD";"HM-10-BOARD";"26.9X13X2.2_BOARD";"HM Bluetooth module use TI CC2540 or CC2541, Master and slave roles in one, transmission version and remote control version and PIO state acquisition functions in one, Support the AT command modify module parameters, Convenient and flexible.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"AMS1117CS-1.8";"AMS1117CS-1.8";"SOIC127P599X175-8N";"1A LOW DROPOUT VOLTAGE REGULATOR";"";"";"";"";"1A LOW DROPOUT VOLTAGE REGULATOR";"";"1.752mm";"";"Advanced Monolithic Systems";"AMS1117CS-1.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"TP4056";"TP4056";"SOIC127P600X175-9N";"1A Standalone Linear Li-lon Battery Charger, SOP-8";"";"";"";"";"1A Standalone Linear Li-lon Battery Charger, SOP-8";"";"1.75mm";"";"NanJing Top Power";"TP4056";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JTAG";"0";"L05P";"L05P";"AMP MT CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";"";
"LED1";"1";"LED_LEDCHIP-LED0603MP";"LED_CHIP-LED0603MP";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"1";"LED_LEDCHIP-LED0603MP";"LED_CHIP-LED0603MP";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MINI_USB";"MINI-USB_SHIELD5P4-32005-501";"MINI-USB_SHIELD5P4-32005-501";"32005-501";"MINI USB-B R/A W/O POST 5 pol.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";"";
"R1";"CRCW08051K00FKEB";"CRCW08051K00FKEB";"RESC2012X50N";"VISHAY - CRCW08051K00FKEB - RES, THICK FILM, 1K, 1%, 0.125W, 0805, REEL";"CRCW08051K00FKEB";"https://www.arrow.com/en/products/crcw08051k00fkeb/vishay";"";"";"VISHAY - CRCW08051K00FKEB - RES, THICK FILM, 1K, 1%, 0.125W, 0805, REEL";"";"0.5mm";"";"Vishay";"CRCW08051K00FKEB";"";"71-CRCW08051K00FKEB";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW08051K00FKEB/?qs=DZvKvnD5UYWgZ7Jd5X5uKQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"1623232-1";"1623232-1";"RESC2012X65N";"CRG0805 1% 470R Check prices";"";"";"Warning";"1623232-1";" 470 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thick Film ";"Compliant with Exemptions";"";"";"";"";"TE Connectivity";"";"";"1623232-1";"";"";"";"0805";"";".125 W";"None";"";"470 ";"1%";"150 V";
"R3";"1623232-1";"1623232-1";"RESC2012X65N";"CRG0805 1% 470R Check prices";"";"";"Warning";"1623232-1";" 470 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thick Film ";"Compliant with Exemptions";"";"";"";"";"TE Connectivity";"";"";"1623232-1";"";"";"";"0805";"";".125 W";"None";"";"470 ";"1%";"150 V";
